epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9882,1.00513,2.91834,1.14958,0.09245,0.4782,0.19779,0.14624,1.26255,3.75788,1.39314,0.0809333,0.000192593,0.000192593
2,30.8298,0.97664,1.39027,1.12547,0.05729,0.43809,0.32736,0.2056,1.28934,3.9796,1.40699,0.061132,0.000391297,0.000391297
3,44.182,0.91284,1.05289,1.06948,0.90432,0.40168,0.68074,0.53794,0.93705,2.53947,1.07402,0.0413294,0.000588681,0.000588681
4,58.7636,0.87535,0.9607,1.05852,0.91826,0.72705,0.82005,0.67643,0.77504,1.55002,0.99725,0.0215255,0.000784746,0.000784746
5,73.4985,0.85343,0.86969,1.04455,0.81892,0.76023,0.80678,0.61755,0.89076,1.11863,1.06664,0.00172023,0.00097949,0.00097949
6,86.8328,0.84798,0.85655,1.03592,0.82719,0.78794,0.83881,0.66789,0.8488,0.99589,1.03699,0.0009835,0.0009835,0.0009835
7,99.6311,0.8392,0.82981,1.03557,0.90971,0.74915,0.86361,0.66077,0.83926,0.89625,1.04323,0.0009802,0.0009802,0.0009802
8,113.665,0.87062,0.84799,1.05594,0.85294,0.81546,0.86811,0.70034,0.75948,0.7868,1.00633,0.0009769,0.0009769,0.0009769
9,127.736,0.84888,0.82378,1.05648,0.97104,0.78758,0.88812,0.70106,0.76319,0.80507,0.99812,0.0009736,0.0009736,0.0009736
10,141.031,0.81723,0.76239,1.00993,0.88716,0.77724,0.84058,0.669,0.74577,0.96591,0.96326,0.0009703,0.0009703,0.0009703
11,155.381,0.81498,0.75372,1.0288,0.95374,0.81255,0.8813,0.71762,0.70871,0.73372,0.95215,0.000967,0.000967,0.000967
12,169.297,0.80728,0.7667,1.0153,0.9043,0.8308,0.87046,0.69574,0.74096,0.77217,0.98525,0.0009637,0.0009637,0.0009637
13,182.692,0.8025,0.73366,1.02661,0.96079,0.8196,0.88627,0.70921,0.73704,0.72326,0.99539,0.0009604,0.0009604,0.0009604
14,196.512,0.78294,0.72114,1.01143,0.88928,0.71566,0.82768,0.67464,0.77618,0.97555,0.97832,0.0009571,0.0009571,0.0009571
15,210.431,0.77497,0.69368,1.016,0.88937,0.80291,0.86903,0.70218,0.73663,0.81728,0.95995,0.0009538,0.0009538,0.0009538
16,223.251,0.78467,0.71062,1.00568,0.93157,0.79886,0.87975,0.73515,0.68402,0.78831,0.94237,0.0009505,0.0009505,0.0009505
17,236.082,0.73099,0.65835,0.99036,0.94234,0.83501,0.8992,0.76471,0.65216,0.64751,0.93345,0.0009472,0.0009472,0.0009472
18,249.417,0.7501,0.66032,0.99397,0.908,0.7996,0.87903,0.73201,0.67875,0.68864,0.9496,0.0009439,0.0009439,0.0009439
19,262.299,0.72948,0.64835,0.98763,0.94861,0.83498,0.90362,0.75438,0.66593,0.60992,0.94173,0.0009406,0.0009406,0.0009406
20,275.118,0.73541,0.65313,0.98781,0.95501,0.78518,0.87881,0.71309,0.7245,0.65636,0.99458,0.0009373,0.0009373,0.0009373
21,288.083,0.73687,0.67294,0.98938,0.96743,0.86077,0.89783,0.76546,0.66929,0.59915,0.93943,0.000934,0.000934,0.000934
22,306.848,0.72527,0.6276,0.9875,0.95704,0.83718,0.89506,0.76568,0.65569,0.63349,0.94188,0.0009307,0.0009307,0.0009307
23,322.918,0.7015,0.60132,0.97572,0.9713,0.8241,0.89248,0.75434,0.65265,0.58749,0.93127,0.0009274,0.0009274,0.0009274
24,337.53,0.67609,0.588,0.96462,0.93342,0.85902,0.90202,0.77252,0.61603,0.60741,0.91968,0.0009241,0.0009241,0.0009241
25,352.785,0.6922,0.61341,0.97561,0.93652,0.83132,0.8938,0.77194,0.62411,0.58328,0.91853,0.0009208,0.0009208,0.0009208
26,367.898,0.67832,0.57087,0.96732,0.95637,0.87284,0.9178,0.75403,0.69712,0.56864,0.99756,0.0009175,0.0009175,0.0009175
27,383.536,0.68678,0.5864,0.96022,0.96707,0.83447,0.91253,0.75928,0.65206,0.62871,0.93866,0.0009142,0.0009142,0.0009142
28,397.95,0.65394,0.55764,0.94499,0.97375,0.86472,0.91292,0.78435,0.62861,0.54221,0.92504,0.0009109,0.0009109,0.0009109
29,413.249,0.68784,0.57201,0.97114,0.93468,0.84763,0.90367,0.76907,0.62216,0.5928,0.92139,0.0009076,0.0009076,0.0009076
