epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3013,1.03512,2.91734,1.10666,0.00095,0.16504,0.03836,0.01919,2.17279,4.78611,2.26046,0.0809333,0.000192593,0.000192593
2,35.7495,0.98998,1.43952,1.07365,0.75595,0.30766,0.52571,0.40686,1.20928,3.02002,1.18926,0.061132,0.000391297,0.000391297
3,53.8678,0.90646,1.01215,1.0341,0.89994,0.60504,0.74829,0.55897,1.04163,2.15101,1.08343,0.0413294,0.000588681,0.000588681
4,73.8666,0.86094,0.92926,1.01884,0.80652,0.69761,0.79423,0.62004,0.89166,1.45313,1.03165,0.0215255,0.000784746,0.000784746
5,92.8358,0.82684,0.89189,1.01329,0.90098,0.74376,0.84385,0.66402,0.81438,0.90363,1.0009,0.00172023,0.00097949,0.00097949
6,108.433,0.83645,0.84936,1.01312,0.76212,0.69517,0.77446,0.60025,0.89937,1.24084,1.04791,0.0009835,0.0009835,0.0009835
7,124.485,0.83594,0.81007,1.01413,0.72995,0.61862,0.68992,0.54246,1.02995,1.73715,1.16128,0.0009802,0.0009802,0.0009802
8,140.683,0.82945,0.79176,1.02092,0.92093,0.75831,0.82978,0.66094,0.83209,0.97683,1.0195,0.0009769,0.0009769,0.0009769
9,156.917,0.79718,0.77099,1.00978,0.91292,0.7983,0.87714,0.70055,0.75633,0.7853,0.94273,0.0009736,0.0009736,0.0009736
10,173.853,0.79301,0.72097,0.99044,0.90851,0.8281,0.87244,0.70072,0.79479,0.77,1.0032,0.0009703,0.0009703,0.0009703
11,193.018,0.80989,0.73551,1.00639,0.8945,0.82213,0.86595,0.69066,0.81722,0.7622,1.01239,0.000967,0.000967,0.000967
12,203.868,0.77615,0.72258,0.99132,0.93202,0.78544,0.85669,0.69626,0.75796,0.79886,0.9695,0.0009637,0.0009637,0.0009637
13,213.772,0.76821,0.70845,0.99263,0.94219,0.74673,0.85443,0.65482,0.83177,0.83897,1.04609,0.0009604,0.0009604,0.0009604
14,224.057,0.72501,0.68121,0.97757,0.95122,0.77863,0.85854,0.72925,0.674,0.73296,0.94878,0.0009571,0.0009571,0.0009571
15,233.968,0.73665,0.66002,0.99249,0.94731,0.81312,0.88697,0.7254,0.6923,0.67911,0.95228,0.0009538,0.0009538,0.0009538
16,244.272,0.72179,0.65724,0.97683,0.94644,0.84447,0.90412,0.74478,0.68889,0.60596,0.9538,0.0009505,0.0009505,0.0009505
17,254.318,0.7147,0.63019,0.97773,0.91472,0.77831,0.87504,0.72211,0.70399,0.72391,0.94137,0.0009472,0.0009472,0.0009472
18,264.924,0.71826,0.63269,0.97266,0.97093,0.83919,0.9035,0.74706,0.716,0.6489,0.99507,0.0009439,0.0009439,0.0009439
